Name,Arp,RA,Dec,Diam
,0135-330,24.5373,-32.8544,4.3
,0136-301,24.7781,-29.9149,1.6
,0136-500,24.7244,-49.7915,1.2
,0136-433,24.7686,-43.3599,0.8
,0137-225,24.8461,-22.7234,1.0
,0137-434,24.9883,-43.417,1.6
,0137-294,25.0494,-29.4555,0.7
,0138-751,24.794,-75.012,1.3
,0138-261,25.2704,-26.0243,0.7
,0139-655,25.3364,-65.6162,1.9
,0140-280,25.7064,-27.8335,0.6
,0141-624,25.7796,-62.4688,0.9
,0141-451,25.8947,-44.9806,0.4
,0141-362,25.9315,-36.089,0.8
,0141-302,25.991,-30.1524,1.7
,0141-682,25.7708,-68.2272,0.1
,0142-435,26.2697,-43.5964,3.6
,0143-463,26.3704,-46.2516,0.1
,0143-781,25.98,-77.9579,4.5
,0143-482,26.4488,-48.1151,0.4
,0143-484,26.4636,-48.4835,0.2
,0143-330,26.5526,-32.7636,0.4
,0144-474,26.6012,-47.4621,0.7
,0144-585,26.6196,-58.6705,2.0
,0144-583,26.6642,-58.2606,1.0
,0144-483,26.7376,-48.4091,0.4
,0145-405,26.8083,-40.6625,0.9
,0145-270,26.981,-26.8912,3.1
,0145-530,26.9295,-52.7579,0.2
,0146-620,27.088,-61.7883,0.7
,0146-321,27.2613,-31.9985,0.3
,0147-271,27.3796,-27.0804,0.8
,0147-275,27.3779,-27.6988,0.2
,0147-350,27.431,-34.8372,2.0
,0147-274,27.4617,-27.4673,0.6
,0147-561,27.3677,-56.0522,13.4
,0147-323,27.5301,-32.4108,2.9
,0148-574,27.552,-57.4409,0.4
,0148-472,27.6186,-47.1677,1.3
,0148-624,27.5229,-62.5042,0.5
,0148-271,27.7207,-27.0379,0.7
,0148-344,27.7645,-34.4746,0.4
,0149-444,27.7639,-44.4547,4.5
,0149-485,27.8395,-48.6115,0.3
,0149-334,27.996,-33.5552,1.6
,0149-334,28.0252,-33.5286,1.6
,0150-334,28.0542,-33.5486,1.6
,0150-362,28.1577,-36.1072,1.1
,0150-355,28.2051,-35.6173,0.2
,0150-640,28.0573,-63.8638,0.1
,0150-355,28.2923,-35.6292,0.2
,0151-624,28.2841,-62.4243,3.1
,0151-333,28.5493,-33.3464,0.4
,0152-565,28.5263,-56.6848,4.4
,0152-355,28.6619,-35.67,13.4
,0152-282,28.6986,-28.1468,0.3
,0152-494,28.6264,-49.5433,1.2
,0152-353,28.7129,-35.3385,0.2
,0153-803,28.1718,-80.403,0.2
,0153-281,28.9692,-28.004,0.4
,0153-693,28.7592,-69.3638,0.2
,0154-501,29.0219,-49.9876,0.4
,0154-342,29.2569,-34.1897,0.4
,0154-353,29.2779,-35.3148,0.4
,0155-370,29.2931,-36.8415,0.7
,0155-815,28.4779,-81.6388,0.7
,0155-775,28.8948,-77.6528,1.3
,0155-691,29.1903,-69.0015,0.8
,0155-353,29.5062,-35.3737,0.5
,0155-675,29.2705,-67.715,0.5
,0156-643,29.3641,-64.3902,0.4
,0156-475,29.536,-47.7321,0.5
,0156-522,29.5397,-52.1155,0.6
,0156-672,29.4028,-67.1853,0.8
,0156-335,29.6614,-33.744,0.3
,0156-562,29.6392,-56.2508,1.3
,0157-430,29.8087,-42.8244,0.4
,0157-311,29.9075,-31.0213,0.4
,0157-624,29.733,-62.576,1.4
,0158-310,30.0743,-30.84,0.3
,0158-343,30.0708,-34.32,13.4
,0158-562,30.0577,-56.1968,0.9
,0158-345,30.2272,-34.7321,0.4
,0158-783,29.6903,-78.3981,4.3
,0159-383,30.2801,-38.3039,3.8
,0159-231,30.3353,-22.9906,0.2
,0159-311,30.535,-31.0245,0.6
,0200-220,30.5842,-21.7646,0.7
,0200-713,30.2625,-71.2842,0.1
,0200-581,30.4614,-57.9461,0.4
,0200-450,30.5589,-44.7812,0.4
,0200-430,30.6555,-42.7948,1.3
,0201-694,30.5456,-69.4482,0.3
,0201-802,30.1237,-80.2427,0.4
,0201-721,30.5965,-72.0734,0.1
,0201-233,30.9874,-23.3106,1.3
,0201-612,30.8516,-61.2254,0.7
,0202-491,31.0513,-48.9325,0.2
,0202-482,31.0888,-48.1742,0.7
,0202-680,30.9329,-67.9257,0.2
,0202-674,30.9554,-67.5791,22.0
,0202-795,30.5296,-79.7086,2.5
,0202-770,30.7062,-76.8388,0.4
,0202-323,31.2497,-32.2862,0.9
,0202-354,31.2755,-35.4597,0.3
,0203-235,31.3314,-23.6998,0.3
,0203-795,30.639,-79.6639,2.5
,0203-233,31.3697,-23.4032,0.2
,0203-552,31.2671,-55.1097,9.0
,0203-583,31.2476,-58.4164,0.3
,0203-425,31.3574,-42.6849,0.6
,0203-325,31.4353,-32.6784,2.9
,0204-373,31.559,-37.332,2.2
,0204-284,31.6446,-28.5822,0.7
,0204-605,31.5323,-60.6055,0.7
,0204-445,31.6506,-44.7073,0.4
,0204-302,31.7389,-30.2375,0.3
,0205-371,31.7927,-37.0676,0.7
,0205-712,31.4805,-71.1189,1.6
,0205-611,31.6566,-60.9691,1.1
,0205-232,31.8655,-23.1344,0.2
,0205-540,31.7369,-53.7709,4.0
,0205-464,31.9527,-46.4498,0.4
,0206-343,32.04,-34.3516,0.5
,0206-401,32.2202,-40.0937,3.1
,0206-571,32.1165,-57.0669,0.3
,0207-233,32.3263,-23.414,5.6
,0207-493,32.2186,-49.2805,0.9
,0207-494,32.2754,-49.4806,0.3
,0207-360,32.3705,-35.9141,0.9
,0207-374,32.4304,-37.5509,0.2
,0208-323,32.5544,-32.3312,0.8
,0208-522,32.4563,-52.2578,2.2
,0208-503,32.5108,-50.2962,0.1
,0208-421,32.5972,-42.0897,1.1
,0208-223,32.6955,-22.3766,0.5
,0208-315,32.7316,-31.6017,0.4
,0208-225,32.7821,-22.6401,0.1
,0209-303,32.844,-30.3787,0.3
,0209-471,32.8126,-46.997,0.2
,0209-483,32.8423,-48.3087,0.5
,0209-602,32.8694,-60.1206,0.2
,0210-224,33.132,-22.4727,2.7
,0210-503,33.0167,-50.2842,1.1
,0210-445,33.0703,-44.611,0.6
,0210-215,33.1634,-21.7278,0.2
,0210-353,33.1413,-35.3411,1.3
,0210-270,33.218,-26.7963,0.4
,0210-601,33.0972,-60.0979,0.3
,0211-565,33.2212,-56.6898,0.1
,0211-472,33.3175,-47.2083,0.3
,0211-271,33.4125,-27.0701,1.0
,0211-682,33.1344,-68.1898,0.2
,0211-615,33.273,-61.745,6.3
,0212-392,33.6153,-39.1857,0.9
,0212-412,33.6183,-41.2474,0.6
,0212-245,33.7824,-24.6011,2.2
,0212-431,33.7426,-43.0061,0.3
,0213-505,33.8022,-50.6246,0.4
,0213-230,33.9546,-22.7716,0.4
,0213-441,33.8871,-43.9648,0.2
,0214-261,34.0774,-25.9503,0.6
,0214-234,34.2682,-23.5758,0.6
,0214-502,34.174,-50.2123,0.4
,0215-331,34.3015,-33.0076,0.6
,0215-505,34.2539,-50.6609,0.2
,0215-485,34.3164,-48.7094,0.4
,0215-320,34.4223,-31.8295,0.2
,0215-373,34.4126,-37.3395,0.4
,0215-372,34.4217,-37.1379,0.2
,0215-350,34.4772,-34.798,1.1
,0215-671,34.2457,-66.9994,0.5
,0216-224,34.6627,-22.4935,1.1
,0216-552,34.5723,-55.1434,0.5
,0216-451,34.6572,-45.0819,0.9
,0216-264,34.7531,-26.5604,0.6
,0216-481,34.6983,-48.0004,0.3
,0217-340,34.8092,-33.874,0.5
,0217-432,34.9326,-43.2543,1.8
,0217-413,34.996,-41.4062,1.1
,0218-443,35.1346,-44.2916,0.5
,0218-321,35.2573,-31.9435,1.5
,0219-343,35.3268,-34.3221,0.8
,0219-421,35.3002,-42.0004,1.6
,0219-390,35.3697,-38.8022,0.7
,0219-273,35.4201,-27.2873,1.8
,0219-374,35.4838,-37.4542,1.3
,0220-390,35.5193,-38.786,0.3
,0220-712,35.2215,-71.1806,0.3
,0220-592,35.4411,-59.1526,0.7
,0220-674,35.4668,-67.4711,0.5
,0220-370,35.7439,-36.8766,0.4
,0221-402,35.7535,-40.18,0.3
,0221-330,35.8148,-32.8468,1.3
,0221-672,35.5658,-67.2598,0.5
,0221-230,35.9013,-22.7986,0.2
,0221-291,35.8839,-28.9469,0.5
,0221-510,35.9111,-50.8488,0.2
,0222-273,36.0604,-27.2824,0.2
,0222-253,36.1876,-25.4395,0.6
,0222-250,36.2647,-24.7947,1.2
,0222-583,36.0908,-58.3927,2.2
,0222-295,36.2929,-29.6448,0.4
,0222-324,36.2814,-32.5731,0.3
,0223-403,36.3046,-40.4299,0.3
,0223-245,36.4186,-24.7684,0.1
