Arp,RA,Dec,Score,Notes
2055-425,314.6128,-42.6492,2,
2055-425,314.6211,-42.6575,2,
2100-725,316.409,-72.7838,2,ring but distant
2109-613,318.466,-61.2931,2,
2114-483,319.4637,-48.3947,2,same as previous.
2114-483,319.497,-48.4046,2,same as previous.
2117-515,320.3025,-51.7338,2,
2122-423,321.4762,-42.41,2,
2129-441,323.1462,-44.07,2,
2139-450,325.6075,-44.7946,2,
2150-575,328.5198,-57.6153,2,
2154-382,329.2754,-38.2416,2,
2154-382,329.4329,-38.1595,2,
2204-525,332.0154,-52.715,2,
2209-621,333.2486,-62.064,2,
2210-215,333.4163,-21.7317,2,
2211-654,333.8211,-65.5527,2,
2213-265,334.0281,-26.6871,2,
2213-363,334.2025,-36.4017,2,
2214-451,334.3139,-45.0665,2,
2219-432,335.6257,-43.1938,2,
2227-271,337.6622,-26.9314,2,
2237-310,340.1857,-30.8036,2,
2244-614,341.9863,-61.4058,2,
2245-583,342.075,-58.334,2,
2247-892,348.0631,-89.1325,2,same as previous 2
2251-372,343.5601,-37.0867,2,
2252-340,343.8316,-33.8897,2,
2300-461,345.8633,-46.0454,2,
2306-721,347.4186,-72.012,2,
2309-440,348.0893,-43.7912,2,
2327-312,352.522,-31.1291,2,
2334-375,354.2843,-37.7147,2,
2341-275,356.0724,-27.6506,2,faint bridge. distant.
2347-385,357.4519,-38.5585,2,
2353-434,359.0632,-43.4316,2,
2354-221,359.3884,-21.9883,2,
2359-275,0.4778,-27.6249,2,
0004-420,1.722,-41.8416,2,
0018-344,5.1536,-34.4709,2,
0129-421,23.0389,-42.0482,2,
0019-812,5.4593,-81.121,2,
0020-242,5.6623,-24.1311,2,
0024-473,6.8312,-47.34,2,
0034-324,9.2587,-32.5316,2,
0053-304,13.9268,-30.5377,2,
0054-435,14.2967,-43.7281,2,
0059-673,15.3534,-67.2995,2,
0106-382,17.0936,-38.2118,2,
0113-613,18.8899,-61.2561,2,possible occultor?
0113-613,18.9226,-61.3095,2,possible occultor?
0121-351,20.9879,-35.0678,2,
0126-514,22.164,-51.4083,2,
0126-515,22.246,-51.5951,2,
0155-353,29.5062,-35.3737,2,
0221-402,35.7535,-40.18,2,
0223-614,36.2656,-61.5516,2,
0231-623,38.2279,-62.3558,2,
0248-523,42.4467,-52.3855,2,
0308-401,47.5433,-40.0028,2,
0316-484,49.4057,-48.503,2,
0316-573,49.3591,-57.4564,2,
0316-573,49.4463,-57.4484,2,
0317-324,49.846,-32.6478,2,
0317-621,49.5981,-62.0757,2,
0318-255,50.0795,-25.6986,2,
0319-421,50.3393,-41.9948,2,
0321-291,50.8207,-29.0531,2,
0321-294,50.8389,-29.5782,2,
0337-240,54.919,-23.8439,2,
0339-571,55.0716,-57.0233,2,
0341-250,55.9916,-24.9232,2,
0345-363,56.752,-36.4414,2,
0345-325,56.7947,-32.7782,2,
0348-502,57.5906,-50.3,2,
0400-393,60.5035,-39.4619,2,
0403-702,60.7527,-70.2557,2,
0417-532,64.7849,-53.3573,2,
0418-582,64.733,-58.2556,2,
0426-425,66.9326,-42.785,2,
0429-442,67.752,-44.237,2,
0442-622,70.7759,-62.3296,2,Polar ring? 
0442-622,70.7759,-62.328,2,Polar ring? 
0452-260,73.7516,-26.0342,2,possible occultor?
0455-425,74.2547,-42.8102,2,
0506-374,77.1061,-37.6602,2,
0507-611,76.9842,-61.1919,2,
0508-330,77.6138,-33.0158,2,
0515-234,79.3618,-23.7457,2,
0520-222,80.5859,-22.3482,2,
0521-343,80.8469,-34.5763,2,
0526-244,82.1431,-24.649,2,
0527-284,82.2397,-28.6729,2,
0528-245,82.6209,-24.8747,2,
0538-220,85.0493,-21.9997,2,
0556-345,89.5756,-34.8902,2,
0609-323,92.7504,-32.5706,2,Possible lensing arc?
0609-331,92.7745,-33.304,2,
0625-621,96.3648,-62.2506,2,DO WE BELIEVE THAT CRAZY BLUE THING???  Or is it the little lumps to the right?
0643-563,101.0375,-56.6878,2,
0713-691,108.2816,-69.2575,2,
1152-331,178.6729,-33.56,2,
1217-354,184.9903,-35.9592,2,
1240-404,190.9223,-40.9687,2,
1241-402,190.947,-40.717,2,low latitude so probably not...
1241-402,191.0726,-40.7303,2,low latitude so probably not...
1246-251,192.3683,-25.5907,2,
1304-333,196.7808,-33.8621,2,
1306-265,197.4031,-27.1395,2,
1308-253,197.7851,-25.9006,2,
1323-262,201.4992,-26.678,2,
1325-255,202.1121,-26.2303,2,
1332-335,203.8281,-34.1821,2,
1332-335,203.8407,-34.1871,2,
1332-335,203.8407,-34.2071,2,
1815-710,275.2079,-71.1349,2,
2024-430,306.9744,-42.9208,2,
2033-692,309.5755,-69.1865,2,
2034-483,309.5265,-48.3911,2,
2103-474,316.8098,-47.5551,2,
2103-301,316.7276,-30.0968,2,
2104-574,317.0838,-57.4993,2,
2128-291,322.7688,-29.0394,2,
2132-535,324.0456,-53.6908,2,
2210-284,333.2642,-28.5238,2,
2219-483,335.6186,-48.4055,2,
2219-234,335.6375,-23.512,2,
2220-493,335.801,-49.2901,2,
2220-460,335.9352,-45.9015,2,
2222-313,336.3393,-31.3556,2,
2225-295,337.1412,-29.7407,2,
2226-584,337.3275,-58.4121,2,
2230-374,338.4043,-37.4784,2,
2239-320,340.4789,-31.8165,2,
2313-261,348.9426,-25.9054,2,
2317-672,350.0352,-67.1477,2,
2317-672,350.0517,-67.151,2,
2338-582,355.359,-58.1409,2,
1,141.1575,49.3567,2,
14,338.94,-26.05,2,
16,170.0625,12.9883,2,
27,170.26,53.1717,2,
76,189.2075,13.1633,2,
114,113.0825,85.7083,2,possible shell/shelf galaxy. Maybe.
116,190.915,11.5533,2,possibly good if shifted to the spiral...
117,212.495,17.6967,2,Maybe shift to spiral companion?
185,248.1675,78.1983,2,
189,190.9275,16.395,2,
285,141.0125,49.2033,2,
286,215.085,3.9333,2,"could do 2 pointings -- one at main galaxy, and one on disrupting galaxy in upper right."
311,261.8225,58.485,2,
317,169.73,13.0933,2,
