Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp313,3,Mostly STIS. WFCP2 300W and 606W -- Check HLA.,,Arp313,0.060,GPair,3133,,,S?,interacting triple,,,,,,,,,,,< 4.189E-01,,< 4.19E-27,4.748E+00,7%,4.75E-26,3.32E-27,,,,,,,,,,,19,179,179.4025,32.2767
Arp314,4,,,Arp314,0.232,GTrpl,3684,,,"SB(rs)cd:,pec",interacting triple,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,122,344.505,-3.7683
Arp318,3,NGC 0833/0838 ; Check HLA,,Arp318,0.070,GGroup,3957,,,Compact Group,interacting quartet,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,180,32.335,-10.1333
Arp320,3,,,Arp320,0.084,GGroup,9114,,,Compact Group,interacting group,,,,,,,,,,,< 1.331E-01,,< 1.33E-27,4.618E-01,12%,4.62E-27,5.54E-28,,,,,,,,,,,56,181,174.465,21.9733
Arp321,4,,,Arp321,0.178,GGroup,6685,,,Compact Group,interacting quintet,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,123,144.7225,-4.86
Arp322,3,But what's that big thing up above?,,Arp322,0.039,GGroup,8094,,,Compact Group,chain of galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,182,173.1675,52.95
Arp323,3,Could be boring. Cut if needed.,,NGC 7783,0.118,GPair,,,,DBL SYS,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,183,358.5425,0.3833
Arp332,3,1 FOC observation,,Arp332,0.058,GGroup,,,,,chain of galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,184,47.1175,-23.0517
Arp334,3,,,UGC 08498,0.037,G,7320,,1.57,Sb             LINER,Sb,,16.9107,0.0420758,6.25E-30,2.42E-31,10.007,0.026,6.63E-28,1.61E-29,,< 1.278E-01,,< 1.28E-27,2.892E-01,16%,2.89E-27,4.63E-28,,,,,,,,,74.20,,74,185,202.6075,31.62
Arp336,3,A lot of weird imaging. Maybe a couple usable WFPC2 but no images on internet. Check HLA,,NGC 2685,0.171,G,883,,4.5,(R)SB0+ pec;RETSy2,(R)SB0^+ pec,Sy 2,,,,,,,,,,< 9.758E-02,,< 9.76E-28,3.156E-01,12%,3.16E-27,3.79E-28,,,,,,,,,,,357,186,133.8975,58.7333
Arp34,3,could cut.  ,,NGC 4615,0.042,G,4716,,1.6,Scd:           HII,Scd?,,,,,,11.005,0.053,2.64E-28,1.32E-29,1.612E-01,23%,1.61E-27,2.80E-28,1.202E+00,10%,1.20E-26,1.20E-27,12.1,1.3,1.21E-28,1.30E-29,,,,,53.60,,140,187,190.405,26.0717
Arp35,3,a bit distant. could cut?,,Arp035,0.080,GPair,4878,,,,integral-sign spiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,188,5.595,-1.3033
Arp4,3,Could cut -- not that disturbed...,,Arp004,0.054,G,1614,,2.8,IAB(rs)m,IAB(rs)m,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,189,27.1075,-12.3817
Arp44,3,Highly extincted maybe???,,Arp044,0.124,GPair,,,,SBb,M51 Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,190,156.3875,-2.2217
Arp49,4,,,NGC 5665,0.069,G,2228,,2.06,SAB(rs)c pec?  HII,SAB(rs)c pec?,,,,,,9.481,0.039,1.08E-27,3.93E-29,7.682E-01,6%,7.68E-27,2.07E-28,6.404E+00,4%,6.40E-26,2.56E-27,50.3,2.2,5.03E-28,2.20E-29,,,,,75.40,,127,124,218.1075,8.08
Arp58,3,pretty but not major disturbance,,UGC 04457,0.098,G,11159,,0.96,SAB(rs)c pec,SAB(rs)c pec,,,,,,11.377,0.076,1.88E-28,1.36E-29,,< 1.967E-01,,< 1.97E-27,4.186E-01,11%,4.19E-27,4.61E-28,,,,,,,,,31.80,,46,191,127.9925,19.2133
Arp59,3,,,Arp059,0.114,GPair,,,,,M51 Type,,,,,,,,,,,< 3.073E-01,,< 3.07E-27,8.189E-01,9%,8.19E-27,7.37E-28,,,,,,,,,,,9,192,15.19,-9.185
Arp6,4,NICMOS only.,,NGC 2537,0.148,G,431,,1.7,SB(s)m pec     HII,SB(s)m pec,H II,,,,,,,,,3.270E-01,12%,3.27E-27,1.77E-28,3.236E+00,6%,3.24E-26,1.94E-27,12.1,1.9,1.21E-28,1.90E-29,,,,,,,284,125,123.31,45.9917
Arp62,4,,,UGC 06865,0.055,GPair,5886,,,Sy2,S?,,,,,,,,,,2.408E-01,12%,2.41E-27,2.03E-28,2.352E+00,8%,2.35E-26,1.88E-27,,,,,,,,,,,37,126,178.4,43.455
Arp65,4,Only STIS obs.,,NGC 0090,0.175,G,5353,,1.9,SAB(s)c pec,SAB(s)c pec,,17.4058,0.0569860,3.96E-30,2.08E-31,10.959,0.046,2.76E-28,1.19E-29,,,,,,,,,,,,,,,,,34.00,,60,127,5.465,22.4
Arp67,3,,,UGC 00892,0.120,G,5228,,1.31,SB(r)ab,SB(r)ab,,,,,,10.042,0.048,6.41E-28,2.90E-29,,,,,,,,,,,,,,,,,71.20,,48,193,20.32,-0.545
Arp69,4,,,NGC 5579,0.055,G,3602,,1.22,SABcd,SABcd,,,,,,12.162,0.108,9.10E-29,9.52E-30,,< 1.075E-01,,< 1.08E-27,4.094E-01,11%,4.09E-27,4.50E-28,,,,,,,,,28.40,,57,128,215.11,35.1883
Arp7,3,Not all that disturbed. Could cut.,,Arp007,0.196,G,5503,,1.3,SB(rs)bc:      HII?,SB(rs)bc?,,16.4948,0.0437666,9.16E-30,3.69E-31,10.954,0.062,2.77E-28,1.63E-29,4.674E-01,7%,4.67E-27,7.22E-29,2.032E+00,5%,2.03E-26,1.02E-27,12.1,1.0,1.21E-28,1.00E-29,,,,,33.80,,31,194,132.5725,-16.5767
Arp70,4,,,Arp070,0.147,GPair,10493,,,,M51 Type,,,,,,,,,,,,,,,,,,4.4,0.7,4.40E-29,7.00E-30,,,,,,,17,129,20.8675,30.785
Arp75,4,,,NGC 0702,0.068,GPair,10584,,,SB(s)bc pec + comp,SB(s)bc pec,,,,,,,,,,,< 2.172E-01,,< 2.17E-27,1.361E+00,7%,1.36E-26,9.53E-28,22.7,1.2,2.27E-28,1.20E-29,,,,,,,27,130,27.8275,-4.055
Arp81,3,"Probably too well observed, but mostly STIS, WFPC2",,UGC 11175,0.129,GPair,6329,,,DBL SYS,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,195,273.2275,68.3633
Arp83,4,,,Arp083,0.085,GPair,3276,,,,M51 Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,131,175.055,15.3433
Arp84,4,None of the HST data seems useful. Check. Ground based image: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwjUmOH2jdTYAhUQ3GMKHUOfDGcQjBwIBA&url=http%3A%2F%2F1.bp.blogspot.com%2F-SFRwQQ2WbtU%2FTr5uprlWtbI%2FAAAAAAAAED0%2F3BlLZRpTbJc%2Fs1600%2FGTC_ARP84_n.jpg&psig=AOvVaw3aOXGwc7yNe3Ncrh0RoIDw&ust=1515904337317564,,Arp084,0.028,GPair,3471,,,S+S            LIRG,M51 Type,,,,,,,,,,9.547E-01,7%,9.55E-27,2.15E-28,8.031E+00,5%,8.03E-26,4.02E-27,,,,,,,,,,,60,132,209.66,37.425
Arp86,3,,,Arp086,0.273,GPair,4845,,,LIRG,M51 Type,,,,,,,,,,5.767E-01,12%,5.77E-27,5.05E-28,4.796E+00,14%,4.80E-26,6.71E-27,,,,,,,,,,,41,196,356.77,29.4833
Arp89,3,ground based image: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwj0juHFjtTYAhUK3mMKHbeRBXQQjBwIBA&url=http%3A%2F%2Ffaculty.etsu.edu%2Fsmithbj%2Fresearch%2Fsg%2Fsdss%2Farp89.jpg&psig=AOvVaw1r2pArmntK3LQ4klj3Cs69&ust=1515904499852339,,NGC 2648,0.073,G,2060,,3.37,S(s)b          RET,Sa,,18.7489,0.111518,1.15E-30,1.18E-31,8.658,0.017,2.30E-27,3.62E-29,,,,,,,,,,,,,,,,,107.40,,82,197,130.6675,14.285
Arp90,3,Obs are mostly WFPC2.,,Arp090,0.066,GPair,2539,,,E-S0+Sa,M51 Type,,,,,,,,,,,,,,,,,,109.3,3.7,1.09E-27,3.70E-29,,,,,,,48,198,231.5325,41.675
Arp91,3,Most obs WFPC2...,,Arp091,0.134,GPair,1966,,,Sbc+S          Sy2,M51 Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,199,233.635,15.195
Arp93,4,,WARNING: Same object as in entry 74 - Arp-Madore2225-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,337.15,-24.8433
Arp97,3,,,UGC 07085A,0.050,GPair,6910,,,Sab,M51 Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,200,181.44,31.06
