Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore0410-330,3,,,NGC 1532,0.042,G,1040,,12.6,SB(s)b pec sp,SB(s)b pec edge-on,,,,,,,,,,,< 4.195E-01,,< 4.19E-27,4.276E+00,6%,4.28E-26,2.57E-27,22.1,2.5,2.21E-28,2.50E-29,,,,,,668.34,152,184,63.0218,-32.8793
Arp-Madore0413-283,3,,,NGC 1540,0.107,GPair,5484,,,(Sa?pec)+(Im?pec),pair?,,,,,,,,,,4.464E-01,6%,4.46E-27,5.76E-29,3.333E+00,4%,3.33E-26,1.33E-27,,,,,,,,,,28.84,18,185,63.7925,-28.4859
Arp-Madore0413-352,3,kind of small. Could cut.,,ESO 360- G 002,0.031,G,4293,,0.9,Sc,SB?,,,,,,,,,,,< 6.865E-02,,< 6.86E-28,1.701E-01,19%,1.70E-27,3.23E-28,,,,,,,,,,53.09,12,186,63.8799,-35.343
Arp-Madore0417-391,3,possibly a bit distant.,,ESO 303-IG 011,0.054,G,15165,,0.74,Irr      poss. LINER,with extended material,,,,,,,,,,,< 8.145E-02,,< 8.14E-28,2.758E-01,12%,2.76E-27,3.31E-28,3.7,0.6,3.70E-29,6.00E-30,,,,,,,19,187,64.9142,-39.1726
Arp-Madore0418-470,3,"Check other imaging. If diffuse stuff not there, cut.",,AM 0418-470,0.037,GTrpl,,,,,,,,,,,,,,,,< 7.237E-02,,< 7.24E-28,2.208E-01,14%,2.21E-27,3.09E-28,,,,,,,,,,,3,188,65.0744,-46.9401
Arp-Madore0421-404,3,,,NGC 1572,0.093,G,6111,,2.5,(R'_1)SB(l)a   HII,(R')SB(s)a?,,,,,,9.301,0.028,1.27E-27,3.32E-29,7.765E-01,6%,7.76E-27,1.39E-28,8.006E+00,5%,8.01E-26,4.00E-27,,,,,,,,,103.20,131.83,65,189,65.673,-40.6027
Arp-Madore0426-480,4,,,ESO 202- G 023,0.033,G,4947,,2.1,(PR?)SB(rl)    Sy2,pec,,,,,,9.471,0.040,1.09E-27,4.07E-29,1.963E-01,11%,1.96E-27,9.07E-29,1.869E+00,4%,1.87E-26,7.48E-28,,,,,,,,,103.20,105.93,49,18,66.9857,-47.927
Arp-Madore0427-273,4,"NGC 1592, Vr=944 km/s, lots of good ancillary data. (Not stellar)",,NGC 1592,0.104,G,944,,1.4,Pec,pec,,,,,,,,,,,< 5.655E-02,,< 5.65E-28,2.425E-01,16%,2.42E-27,3.88E-28,,,,,,,,,,,41,19,67.403,-27.4235
Arp-Madore0431-434,3,Not that extreme.  Could cut. The trails to the lower left are cool though.,,NGC 1616,0.045,G,4461,,1.8,S(rs?)bc:,SAB(rs)bc pec?,,,,,,9.677,0.039,8.98E-28,3.28E-29,1.754E-01,12%,1.75E-27,1.70E-28,1.622E+00,5%,1.62E-26,8.11E-28,,,,,,,,,89.80,103.51,36,190,68.1683,-43.7255
Arp-Madore0432-625,4,"AM 0432-625 , no redshift. showed up in a radio catalog. Ring is real. ",,AM 0432-625,0.072,G,,,1.3,(R)SA0^0,(R)SA0^0? pec,,,,,,12.549,0.117,6.37E-29,7.25E-30,,,,,,,,,,,,,,,,,16.40,,7,20,68.1396,-62.8643
