Name,Arp,RA,Dec,Diam
,0507-512,77.1133,-51.3655,3.1
,0507-220,77.443,-22.0365,4.5
,0508-370,77.5193,-36.9638,3.1
,0509-290,77.8439,-28.9919,2.7
,0510-330,77.993,-32.9776,4.0
,0510-260,78.0865,-26.053,4.0
,0510-233,78.2223,-23.4452,3.1
,0511-775,77.2924,-77.7952,2.4
,0513-412,78.754,-41.3914,2.2
,0513-224,78.976,-22.7438,3.2
,0514-370,79.1546,-37.0982,4.5
,0519-370,80.2674,-36.9602,2.7
,0522-611,80.6511,-61.2861,2.5
,0522-774,79.8972,-77.7293,2.2
,0525-511,81.7139,-51.2441,2.2
,0525-454,81.7906,-45.7827,2.2
,0531-362,83.3075,-36.4015,2.9
,0532-640,83.0914,-64.113,4.0
,0533-505,83.7618,-50.944,2.6
,0534-320,84.0718,-31.9868,4.5
,0535-262,84.3278,-26.4279,4.9
,0538-295,85.0604,-29.8732,4.0
,0539-225,85.5105,-22.9486,2.2
,0541-255,85.7847,-25.9383,3.6
,0541-300,85.813,-30.0802,3.8
,0545-643,86.4459,-64.6326,3.4
,0545-513,86.7737,-51.5536,4.0
,0546-472,87.0339,-47.4064,2.7
,0548-393,87.565,-39.5555,3.1
,0548-463,87.5337,-46.6172,2.5
,0549-510,87.788,-51.0468,2.9
,0551-342,88.275,-34.3938,4.5
,0552-350,88.6821,-35.1408,2.4
,0553-394,88.7047,-39.7677,2.7
,0554-514,88.7966,-51.6868,3.1
